Agency Name,Website,Description,Most Common Project Size
Explainly,https://www.explainly.com/,Explainly is a San Francisco Bay Area based animation company that specializes in 2D and 3D animated explainer videos. Our team has years of experience in creating custom animations to fit any of your needs.,4.9
IdeaRocket,https://idearocketanimation.com/,"IdeaRocket creates animated videos for the business market. The studio provides concept-to-delivery production services, including script writing, voice casting and recording, design, animation, music licensing and composition, final editing and sound design. Animation techniques used include 2D, 3D, motion graphics, whiteboard animation, and mixed media styles.",5.0
